id,date,winner,loser,elo_winner,elo_loser,first_hand,conceded,record
207757785,2021-10-09 15:44:00,y mtk,Lthlorien,80,127,y mtk,False,y4r5y4r5y4r5y4r4y5r3y3r2y3r4y5r5y5r2y4r2y3r4y3r4y1r4y1r4y1r1y1r3y1r3y1r1y2r3y3r4y3r4y3r3y2r3y2r3y2r3y3r1y1r1y2r4y3r2y4r2y4r5y5r5y4r2y4r5y5r5y5r5y4r2y3r2y4r1y2r1y4r1y3
207758874,2021-10-09 15:35:00,Lthlorien,y mtk,140,42,Lthlorien,False,r5y4r5y4r5y2r5y5r3y4r3y5r3y5r4y2r4y5r4y5r5y4r4y4r4y1r4y5r1y5r1y5r2y3r1y4r3y3r1y3r1y3r1y4r3y4r3y1r2y3r2y3r2y4r1y1r4y1r4y1r1y1r5y4r5
207730173,2021-10-09 12:33:00,mad rid,NRCmeSmiling,763,305,NRCmeSmiling,False,r5y2r5y2r5y2r5y5r3y2r1y2r1y2r3y5r4y2r4y2r4y2r4y4r1y3r1y4r1y4r3y5r1y1r1y4r1y4r4y4r5y5r3y1r1y4r1y4r1y1r1y1r1y1r5y1r5y1r1y3r5y1r4y1r2y1r4y1r4y3r4y1r1y1r1y1r5y1r2y1r2y1r2y1r2y1r5y1r4y4r5y3r4y3r2y2r4y4r4y2
207735572,2021-10-09 12:27:00,mad rid,NRCmeSmiling,761,306,mad rid,False,r1y4r2y5r5y5r5y3r2y1r1y1r5y3r5y5r4y5r5y3r5y5r5y5r5y5r5y1r1y1r5y1r5y1r4y4r4y4r4y1r2y2r1y2r1y5r1y2r2y1r2y1r2y3r2y4r4y4r1y2r3y1r3y2r3y1r3y2r3y2r4y3r3y2r3y2r3y2r1y2r5y4r1y4r4y4r5
207720371,2021-10-09 10:58:00,amicitia,Iong46,711,211,Iong46,False,y4r1y4r5y4r4y5r5y5r5y1r1y1r5y1r2y3r2y3r4y3r1y1r1y1r5y5r5y1r3y1r5y1r5y1r5y3r4y3r2y4r4y2r5y2r1y4r1y1r5y1r1y1r2y2r5y2r1y2r3y4r1y2r4y2r2y2r4y2r4y2r5y1r5y5r5y1r5y1r5y1r5y1r5y1r3y4r3y5r3y4r2y4r5y5r3y1r3y5r4y2r4y2r4y2r3y5r1y2r1y2r5y2r5
207719751,2021-10-09 09:24:00,mad rid,funerie,760,100,mad rid,False,y2r5y2r4y2r3y2r3y2r3y2r5y2r5y2r4y2r5y5r3y5r3y4r3y4r4y1r4y4r1y4r1y1r2y1r5y1r5y1r2y1r2y1r2y1r1y1r1y5r5y4r5y4r4y5r4y5r1y5r4y5r2y5r1y5r2y5r2y5r2y5r2y2r4y2r1y5
207690187,2021-10-09 08:44:00,mad rid,Deelex13,760,702,mad rid,False,r1y4r2y4r2y4r5y4r5y4r4y4r4y4r5y4r5y5r5y5r3y4r3y4r5y4r5y4r4y4r4y4r5y4r5y4r5y5r4y4r4y4r5y4r3y4r3y2r5y2r2y2r1y2r3y2r3y1r5y2r5y2r5y2r5y5r4y2r2y3r1y1r1y1r1y1r1y4r3y2r4y1r4y1r4y3r4y4r3y4r2y4r2y4r4y4r4y4r4y1r1y1r1y2r1y5r1y4r2y3r4y4r5y1r3y4r2y3r1y3r2y1r5y1r1y3r1y1r5y1r1
207692397,2021-10-09 07:41:00,y mtk,Lthlorien,42,132,y mtk,False,r5y4r3y4r4y5r5y5r5y1r4y1r5y1r1y1r4y1r4y3r2y3r2y1r2y1r2y4r2y4r2y2r1y2r4y3r1y4r1y4r1y4r1y5r1y5r2y5r5y5r4y2r5y3r3y3r3y4r4y4r4y2r3y2r3y2r4y2r4y3r4y3r3y3r3y2r3y2r3y2r5y2r1y5r1
207689409,2021-10-09 07:22:00,Deelex13,eguar27,711,469,eguar27,False,r1y4r2y4r2y4r5y4r5y4r4y4r4y4r5y4r4y4r4y4r2y5r2y3r2y3r2y3r4y4r1y2r1y2r1y2r5y2r5y2r1y2r3y4r5y4r3y5r1y2r5y5r1y2r5y2r1y2r5y2r5y2r5y5r5y2r1y5r3y4r1y2r1y2r1y4r5y4r3y3r2y4r5y4r2y1r2y4r5y5r1y4r5y1r5y1r5y1r5y2r5y1r1y1r4y4r5y1r4y5r5y5r3y2r1y5r2y5r2y5r2y5r5y3r1y3r2y2r2y2
207699823,2021-10-09 07:09:00,Lthlorien,mermaid59,146,1,Lthlorien,False,y4r1y4r2y4r3y4r2y4r4y4r5y1r1y1r3y3r4y3r3y3r5y1r5y1r1y2r1y2r1y2r1y1r1y1r1y1r1y3r4y3r3y5r2y5r4y5r4y5r1y5r1y5r2y4r4y5r2y3r2y5r4y5r4y2r4y2r2y2r2y2r4y4
